2019/07/25,12:01:24,12345678901234567,,KEEP
2019/07/25,12:02:54,GH9929637F2KPK6A0,1. RETEST: TESTER NG,RETEST
2019/07/25,12:04:33,GH9929637F2KPK6A0,1. RETEST: TESTER NG,RETEST
2019/07/25,12:06:11,GH9929637F2KPK6A0,1. RETEST: TESTER NG,RETEST
2019/07/25,12:08:30,GH9910520J2KPK63H,AE-63 NG OVER 3 TIMES,HOLD
2019/07/25,12:11:20,GH9910520J2KPK63H,AE-63 NG OVER 3 TIMES,HOLD
2019/07/25,12:13:06,GH9910520J2KPK63H,AE-63 NG OVER 3 TIMES,HOLD
2019/07/25,12:14:06,GH9910520J2KPK63H,AE-63 NG OVER 3 TIMES,HOLD
2019/07/25,12:16:29,GH9910520J2KPK63H,AE-63 NG OVER 3 TIMES,HOLD
2019/07/25,12:17:10,GH9910520J2KPK63H,AE-63 NG OVER 3 TIMES,HOLD
2019/07/25,12:17:46,GH993043A6QKPK6AW,62. RETEST: AOI NG AE-15,RETEST
